,CPI,Inflation_YoY,Unemployment_Rate,Employment_Rate,GDP_Ontario,GDP_Growth_YoY,Policy_Rate,Prime_Rate,Mortgage_5Y_Rate,Prime_Policy_Spread,Mortgage_Prime_Spread,USD_CAD,FX_Change_MoM,FX_Change_YoY,HPI,HPI_Change_MoM,HPI_Change_YoY,WTI_Price,WCS_Price,WCS_WTI_Spread,WTI_Change_YoY,Economic_Cycle_Score,Credit_Conditions,Housing_Risk_Score
2022-12-31,153.1,6.319444444444433,5.0,62.3,850461.9,4.06188686540665,4.130952380952381,6.325,6.49,2.194047619047619,0.16500000000000004,1.3591900000000001,1.0657531336307535,6.2353308991838,714300.0,-1.1212624584717612,-8.06949806949807,76.44,47.14,-29.299999999999997,6.596011713847449,0.6324420187990056,5.564809523809524,6.981749034749035
2023-01-01,153.9,5.918788713007572,5.1,62.5,850461.9,4.06188686540665,4.130952380952381,6.325,6.49,2.194047619047619,0.16500000000000004,1.3591900000000001,1.0657531336307535,6.2353308991838,707800.0,-0.9099818003639903,-12.83251231527094,78.12,49.94,-28.180000000000007,-6.12833453496755,0.6067162852112138,5.564809523809524,9.383256157635468
2023-01-31,153.9,5.918788713007572,5.1,62.5,865859.6,1.8105102650688876,4.2976190476190474,6.45,6.49,2.1523809523809527,0.040000000000000036,1.3421666666666667,-1.2524616376910824,6.390287080707613,707800.0,-0.9099818003639903,-12.83251231527094,78.12,49.94,-28.180000000000007,-6.12833453496755,0.03056850702151942,5.606476190476191,9.383256157635468
2023-02-01,154.5,5.245231607629419,5.1,62.5,865859.6,1.8105102650688876,4.2976190476190474,6.45,6.49,2.1523809523809527,0.040000000000000036,1.3421666666666667,-1.2524616376910824,6.390287080707613,705600.0,-0.3108222661768911,-15.739192739431573,76.83,51.16,-25.67,-16.161065037101707,0.03056850702151942,5.606476190476191,10.836596369715785
2023-02-28,154.5,5.245231607629419,5.1,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3450263157894735,0.21306214748342267,5.775638345867762,705600.0,-0.3108222661768911,-15.739192739431573,76.83,51.16,-25.67,-16.161065037101707,0.03056850702151942,5.716,10.836596369715785
2023-03-01,155.3,4.298186702484896,5.0,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3450263157894735,0.21306214748342267,5.775638345867762,709000.0,0.48185941043084046,-15.20153091735439,73.28,52.99,-20.29,-32.46082949308756,0.056294240609311264,5.716,10.547765458677194
2023-03-31,155.3,4.298186702484896,5.0,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3682130434782607,1.7238865453110153,8.091889905231664,709000.0,0.48185941043084046,-15.20153091735439,73.28,52.99,-20.29,-32.46082949308756,0.056294240609311264,5.716,10.547765458677194
2023-04-01,156.4,4.4058744993324295,5.1,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3682130434782607,1.7238865453110153,8.091889905231664,721800.0,1.805359661495065,-11.921903599755945,79.45,63.48,-15.970000000000006,-21.939477303988998,0.03056850702151942,5.716,8.927951799877972
2023-04-30,156.4,4.4058744993324295,5.1,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3485052631578949,-1.4404028973634686,6.786922961505781,721800.0,1.805359661495065,-11.921903599755945,79.45,63.48,-15.970000000000006,-21.939477303988998,0.03056850702151942,5.716,8.927951799877972
2023-05-01,157.0,3.3574720210664877,5.2,62.3,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3485052631578949,-1.4404028973634686,6.786922961505781,733800.0,1.6625103906899419,-8.549351944167494,71.58,56.24,-15.339999999999996,-34.659972615244186,0.004842773433727354,5.716,7.261675972083747
2023-05-31,157.0,3.3574720210664877,5.2,62.3,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3520136363636364,0.26016755748698994,5.196357007596819,733800.0,1.6625103906899419,-8.549351944167494,71.58,56.24,-15.339999999999996,-34.659972615244186,0.004842773433727354,5.716,7.261675972083747
2023-06-01,157.2,2.8122956180510084,5.4,62.3,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3520136363636364,0.26016755748698994,5.196357007596819,742700.0,1.2128645407468053,-5.049859371004861,70.25,56.42,-13.829999999999998,-38.82793451758969,-0.04660869374185661,5.716,5.551929685502431
2023-06-30,157.2,2.8122956180510084,5.4,62.3,865859.6,1.8105102650688876,4.693181818181818,6.8875,6.49,2.194318181818182,-0.39749999999999996,1.3287818181818183,-1.7183124161603947,3.7006030507272136,742700.0,1.2128645407468053,-5.049859371004861,70.25,56.42,-13.829999999999998,-38.82793451758969,-0.04660869374185661,5.789863636363637,5.551929685502431
2023-07-01,158.1,3.2658393207054104,5.5,62.2,865859.6,1.8105102650688876,4.693181818181818,6.8875,6.49,2.194318181818182,-0.39749999999999996,1.3287818181818183,-1.7183124161603947,3.7006030507272136,747400.0,0.6328261747677422,-2.057397457738175,76.07,64.12,-11.949999999999989,-25.142688447156083,-0.07233442732964845,5.789863636363637,4.075698728869087
